axis,axis_value,model,config_key,is_baseline,seed,n_cameras,n_frames,layout,n_true,n_assumed,normal_fixed,depth_range_min,depth_range_max,xy_extent,spacing,status,status_reason,optimality_stage3_interface_optimization,optimality_stage3_intrinsic_pass,reprojection_rms_px,reconstruction_mae_mm,reconstruction_rmse_mm,signed_mean_mm,focal_error_pct_mean,xy_position_error_mm_mean,z_position_error_mm_mean,water_z_error_mm_mean,num_comparisons,num_frames,degenerate_observations_at_solution
index,1.333,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.0040435218186303246,0.0032849833959113523,0.7063573782041142,0.3332353287558904,0.48687764766327885,0.02835430252694745,0.010409809219136342,0.2567940511215235,0.22097436088443423,3.4057256267712535,14743,100,0
index,1.36,refractive,index_1.36,False,42,12,100,grid,1.36,1.36,False,,,,,ok,,0.0043547014691398545,0.0035253380999620276,0.7063654155920706,0.33263690411391306,0.47703018176203643,0.030871420108387216,0.012328885537667637,0.2735093215562041,0.6974077512384578,3.4574857815684212,14717,100,0
index,1.39,refractive,index_1.39,False,42,12,100,grid,1.39,1.39,False,,,,,ok,,0.003114503345727826,0.003757219513351623,0.7061125242540488,0.3361709266565187,0.49124245230245644,0.03625260715042082,-0.1001827006275386,0.10820943893279455,0.5893384378435385,3.405725626771254,14698,100,0
index,1.42,refractive,index_1.42,False,42,12,100,grid,1.42,1.42,False,,,,,ok,,0.012620279963812209,0.002295417700679536,0.7053660656350937,0.33972696742780095,0.4913963058116969,0.034227403589531254,0.00022365638289841426,0.10581598357850637,-0.32095413215730967,3.4057256267712526,14669,100,0
index,1.45,refractive,index_1.45,False,42,12,100,grid,1.45,1.45,False,,,,,ok,,0.004897764679839156,0.004560625517797234,0.7059637852903811,0.338483375411225,0.49477795662163254,0.031573665477283186,-0.08817716378169328,0.15343442361807047,0.39612571380985395,3.405725626771254,14647,100,0
index,1.48,refractive,index_1.48,False,42,12,100,grid,1.48,1.48,False,,,,,ok,,0.0037003089332756645,0.003952205165603573,0.7053832892262437,0.33913783271149667,0.48993749211587295,0.03699422557386562,0.08718468456930746,0.20477821603459026,-0.6092647784358761,3.4057256267712526,14631,100,0
index,1.51,refractive,index_1.51,False,42,12,100,grid,1.51,1.51,False,,,,,ok,,0.003503352721054398,0.0023725452836060867,0.7060307494718886,0.3401113189649387,0.5118988479288138,0.038757115261281255,0.060895791927932506,0.14508974912237968,-0.007209224662487193,3.405725626771254,14620,100,0
index,1.55,refractive,index_1.55,False,42,12,100,grid,1.55,1.55,False,,,,,ok,,0.005195750255325038,0.005007758586884847,0.7059166239708631,0.34151903886440715,0.5073677025457141,0.03905578240945661,0.0069708997620459056,0.14597883584960172,0.1458218776283994,3.4317497850912715,14602,100,0
layout,grid,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.0040435218186303246,0.0032849833959113523,0.7063573782041142,0.3332353287558904,0.48687764766327885,0.02835430252694745,0.010409809219136342,0.2567940511215235,0.22097436088443423,3.4057256267712535,14743,100,0
layout,line,refractive,layout_line,False,42,12,100,line,1.333,1.333,False,,,,,ok,,0.002115118218398493,0.0017488622404471243,0.7920249623671215,0.35388482619021044,0.488593643663095,0.04865832159333629,0.1945634111815571,2.231234848528714,-0.37812372882635475,3.4523473413268597,3049,34,0
layout,ring,refractive,layout_ring,False,42,12,100,ring,1.333,1.333,False,,,,,ok,,0.00181477100786006,0.0015880309247002357,0.7055586804473938,0.4755988767892822,0.710854151596103,0.06684162027510317,0.02667709045507387,0.45530480812158686,0.6729376897637759,3.405725626771254,12880,99,0
scale,default,refractive,baseline,True,42,12,100,grid,1.333,1.333,False,,,,,ok,,0.0040435218186303246,0.0032849833959113523,0.7063573782041142,0.3332353287558904,0.48687764766327885,0.02835430252694745,0.010409809219136342,0.2567940511215235,0.22097436088443423,3.4057256267712535,14743,100,0
scale,double_scale,refractive,scale_double_scale,False,42,12,100,grid,1.333,1.333,False,1.181852154281008,2.818147845718992,1.674418012325477,0.86,ok,,0.008534358370521744,0.0016612916524252341,0.7050496638094899,0.52446558891841,0.7243961026611931,0.06637020433327609,0.014102212404319593,0.5776374687636442,0.12028468602828994,3.405725626771254,11259,93,0
scale,half_scale,refractive,scale_half_scale,False,42,12,100,grid,1.333,1.333,False,1.181852154281008,1.590926077140504,0.41860450308136926,0.215,ok,,0.008266365376584872,0.006286744699082192,0.7062836102654502,0.248466163887189,0.35964720429717206,0.019570052062949626,0.03088621866676899,0.13021073805091682,0.38549114837019677,3.408316836488826,15507,100,0
