seed,axis,axis_value,optimality_stage3_interface_optimization,optimality_stage3_intrinsic_pass,reconstruction_rmse_mm,xy_position_error_mm_mean,z_position_error_mm_mean,water_z_error_mm_mean,reprojection_rms_px,degenerate_observations_at_solution,status
42,index,1.333,0.0040435218186303246,0.0032849833959113523,0.48687764766327885,0.2567940511215235,0.22097436088443423,3.4057256267712535,0.7063573782041142,0,ok
42,index,1.36,0.0043547014691398545,0.0035253380999620276,0.47703018176203643,0.2735093215562041,0.6974077512384578,3.4574857815684212,0.7063654155920706,0,ok
42,index,1.39,0.003114503345727826,0.003757219513351623,0.49124245230245644,0.10820943893279455,0.5893384378435385,3.405725626771254,0.7061125242540488,0,ok
42,index,1.42,0.012620279963812209,0.002295417700679536,0.4913963058116969,0.10581598357850637,-0.32095413215730967,3.4057256267712526,0.7053660656350937,0,ok
42,index,1.45,0.004897764679839156,0.004560625517797234,0.49477795662163254,0.15343442361807047,0.39612571380985395,3.405725626771254,0.7059637852903811,0,ok
42,index,1.48,0.005616563079229309,0.005671474999815018,0.4899374916689646,0.20477804755010842,-0.6092555041662339,3.4057256267712535,0.7053832885415959,0,ok
42,index,1.51,0.003503352721054398,0.0023725452836060867,0.5118988479288138,0.14508974912237968,-0.007209224662487193,3.405725626771254,0.7060307494718886,0,ok
42,index,1.55,0.005195750255325038,0.005007758586884847,0.5073677025457141,0.14597883584960172,0.1458218776283994,3.4317497850912715,0.7059166239708631,0,ok
42,layout,grid,0.0040435218186303246,0.0032849833959113523,0.48687764766327885,0.2567940511215235,0.22097436088443423,3.4057256267712535,0.7063573782041142,0,ok
42,layout,line,0.002115118218398493,0.0017488622404471243,0.488593643663095,2.231234848528714,-0.37812372882635475,3.4523473413268597,0.7920249623671215,0,ok
42,layout,ring,0.00181477100786006,0.0015880309247002357,0.710854151596103,0.45530480812158686,0.6729376897637759,3.405725626771254,0.7055586804473938,0,ok
42,scale,default,0.0040435218186303246,0.0032849833959113523,0.48687764766327885,0.2567940511215235,0.22097436088443423,3.4057256267712535,0.7063573782041142,0,ok
42,scale,double_scale,0.008534358370521744,0.0016612916524252341,0.7243961026611931,0.5776374687636442,0.12028468602828994,3.405725626771254,0.7050496638094899,0,ok
42,scale,half_scale,0.008266365376584872,0.006286744699082192,0.35964720429717206,0.13021073805091682,0.38549114837019677,3.408316836488826,0.7062836102654502,0,ok
62,index,1.333,0.0040057896757730305,0.006460001740151711,0.4689144070721535,0.10762078042101793,-0.039539651849105996,2.8445817790547037,0.7035267273292619,0,ok
62,index,1.36,0.003639158960140776,0.001572159898778125,0.4804071968493894,0.11382930807914382,0.8252055773781374,2.6611933707224593,0.7035492751100645,0,ok
62,index,1.39,0.006722678304186047,0.005087008397882523,0.48520892029167795,0.30663118666189537,0.7251477541668304,2.655477392137192,0.7035341581866116,0,ok
62,index,1.42,0.006450924084901999,0.006530561872523322,0.48613423094867747,0.2939706869446788,1.4546595950250794,2.683141014752421,0.7033382221526535,0,ok
62,index,1.45,0.0028330236434577216,0.005197845716338634,0.4839857401965835,0.11075668120499359,0.5505095332473796,2.6700064031950355,0.7031899655984739,0,ok
62,index,1.48,0.008185006832434283,0.004295349519643189,0.4839604340705248,0.18982189421601223,0.8844276699746243,2.8347759647138204,0.7030178718662353,0,ok
62,index,1.51,0.0052148312975077715,0.0024333676355468015,0.49143549519869134,0.12569049895365306,0.07979995701258319,2.9979463581841777,0.702653146153358,0,ok
62,index,1.55,0.002891194805329178,0.002325578776972313,0.4940365145141365,0.1576461519678503,1.968374729822945,3.634864426553475,0.7032046363807304,0,ok
62,layout,grid,0.0040057896757730305,0.006460001740151711,0.4689144070721535,0.10762078042101793,-0.039539651849105996,2.8445817790547037,0.7035267273292619,0,ok
62,layout,line,0.0017202931124984389,0.0020114750483344324,0.4660485262804295,1.5647167621947125,-7.3236163281897335,8.251115370627245,0.7110984431282688,0,ok
62,layout,ring,0.0038200387361939647,0.0028631541585999935,0.6645852288471822,0.1907098572688092,-0.2837837347809937,3.2472552831941397,0.7025577810301012,0,ok
62,scale,default,0.0040057896757730305,0.006460001740151711,0.4689144070721535,0.10762078042101793,-0.039539651849105996,2.8445817790547037,0.7035267273292619,0,ok
